Co,Cr,Fe,Mn,Ni,V,formula,Omega,delta_r,VEC
24,24,0,25,27,0,Co0.24Cr0.24Mn0.25Ni0.27,3.65,3.81,8.05
24,23,26,0,27,0,Co0.24Cr0.23Fe0.26Ni0.27,5.8,1.26,8.32
25,0,26,23,26,0,Co0.25Fe0.26Mn0.23Ni0.26,5.1,3.85,8.54
28,26,26,0,20,0,Co0.28Cr0.26Fe0.26Ni0.20,5.94,1.31,8.16
28,0,20,25,27,0,Co0.28Fe0.20Mn0.25Ni0.27,4.63,3.97,8.57
24,0,26,23,27,0,Co0.24Fe0.26Mn0.23Ni0.27,5.05,3.85,8.55
25,0,24,0,26,25,Co0.25Fe0.24Ni0.26V0.25,2.04,3.3,8.02
27,0,25,26,22,0,Co0.27Fe0.25Mn0.26Ni0.22,4.97,4.0,8.45
21,24,0,27,28,0,Co0.21Cr0.24Mn0.27Ni0.28,3.56,3.88,8.02
25,0,25,0,27,23,Co0.25Fe0.25Ni0.27V0.23,2.13,3.21,8.1
28,28,21,0,23,0,Co0.28Cr0.28Fe0.21Ni0.23,5.47,1.35,8.18
25,27,0,20,28,0,Co0.25Cr0.27Mn0.20Ni0.28,3.72,3.57,8.07
27,28,25,0,20,0,Co0.27Cr0.28Fe0.25Ni0.20,5.76,1.34,8.11
27,0,24,0,28,21,Co0.27Fe0.24Ni0.28V0.21,2.21,3.12,8.2
25,22,26,0,27,0,Co0.25Cr0.22Fe0.26Ni0.27,5.91,1.25,8.35
27,0,26,0,27,20,Co0.27Fe0.26Ni0.27V0.20,2.31,3.06,8.21
23,25,0,25,27,0,Co0.23Cr0.25Mn0.25Ni0.27,3.66,3.8,8.02
27,23,0,24,26,0,Co0.27Cr0.23Mn0.24Ni0.26,3.71,3.79,8.09
28,0,27,24,21,0,Co0.28Fe0.27Mn0.24Ni0.21,5.29,3.89,8.46
23,0,28,25,24,0,Co0.23Fe0.28Mn0.25Ni0.24,5.08,3.94,8.46
22,28,24,0,26,0,Co0.22Cr0.28Fe0.24Ni0.26,5.37,1.34,8.18
23,24,0,27,26,0,Co0.23Cr0.24Mn0.27Ni0.26,3.65,3.88,8.0
28,22,23,0,27,0,Co0.28Cr0.22Fe0.23Ni0.27,5.88,1.26,8.38
23,27,26,0,24,0,Co0.23Cr0.27Fe0.26Ni0.24,5.62,1.32,8.17
28,24,26,0,22,0,Co0.28Cr0.24Fe0.26Ni0.22,6.01,1.28,8.24
28,26,23,0,23,0,Co0.28Cr0.26Fe0.23Ni0.23,5.7,1.32,8.22
20,28,24,0,28,0,Co0.20Cr0.28Fe0.24Ni0.28,5.23,1.34,8.2
27,25,27,0,21,0,Co0.27Cr0.25Fe0.27Ni0.21,6.0,1.29,8.19
26,22,0,28,24,0,Co0.26Cr0.22Mn0.28Ni0.24,3.69,3.93,8.02
26,21,0,25,28,0,Co0.26Cr0.21Mn0.25Ni0.28,3.6,3.85,8.15
27,0,26,24,23,0,Co0.27Fe0.26Mn0.24Ni0.23,5.15,3.9,8.49
25,28,27,0,20,0,Co0.25Cr0.28Fe0.27Ni0.20,5.81,1.33,8.09
25,0,28,24,23,0,Co0.25Fe0.28Mn0.24Ni0.23,5.23,3.89,8.47
27,23,22,0,28,0,Co0.27Cr0.23Fe0.22Ni0.28,5.69,1.28,8.37
27,0,27,0,24,22,Co0.27Fe0.27Ni0.24V0.22,2.23,3.15,8.09
28,0,28,0,22,22,Co0.28Fe0.28Ni0.22V0.22,2.26,3.15,8.06
28,0,22,23,27,0,Co0.28Fe0.22Mn0.23Ni0.27,4.91,3.86,8.59
27,26,21,0,26,0,Co0.27Cr0.26Fe0.21Ni0.26,5.48,1.33,8.27
25,0,25,25,25,0,Co0.25Fe0.25Mn0.25Ni0.25,4.92,3.95,8.5
23,0,26,26,25,0,Co0.23Fe0.26Mn0.26Ni0.25,4.86,3.99,8.47
26,0,27,0,26,21,Co0.26Fe0.27Ni0.26V0.21,2.27,3.11,8.15
24,26,0,22,28,0,Co0.24Cr0.26Mn0.22Ni0.28,3.68,3.67,8.06
21,0,26,0,28,25,Co0.21Fe0.26Ni0.28V0.25,2.03,3.29,8.02
20,28,27,0,25,0,Co0.20Cr0.28Fe0.27Ni0.25,5.48,1.33,8.14
28,0,28,0,24,20,Co0.28Fe0.28Ni0.24V0.20,2.36,3.05,8.16
20,0,27,25,28,0,Co0.20Fe0.27Mn0.25Ni0.28,4.82,3.94,8.51
28,26,20,0,26,0,Co0.28Cr0.26Fe0.20Ni0.26,5.46,1.33,8.28
25,0,27,25,23,0,Co0.25Fe0.27Mn0.25Ni0.23,5.1,3.94,8.46
22,26,25,0,27,0,Co0.22Cr0.26Fe0.25Ni0.27,5.49,1.31,8.24
26,0,23,26,25,0,Co0.26Fe0.23Mn0.26Ni0.25,4.75,4.01,8.5
